Latitude,Longitude,MedInc,cluster
38.03,-121.25,6.6605,4
34.05,-118.49,7.0285,1
33.63,-117.67,4.4063,1
33.67,-118.0,4.8125,1
33.99,-117.37,1.685,5
36.73,-119.79,1.975,0
38.13,-121.29,5.0,4
33.83,-118.19,6.4468,1
34.61,-120.16,3.0185,0
37.4,-120.84,2.6214,3
32.76,-117.18,2.6493,5
33.14,-117.08,3.5462,5
37.85,-122.24,4.9643,4
40.89,-124.01,2.4559,3
40.77,-122.96,3.2891,3
33.86,-118.27,3.7466,5
36.55,-121.91,5.7248,4
37.71,-121.96,7.2494,4
34.1,-118.18,4.9231,1
33.73,-117.81,3.5719,5
33.77,-118.15,3.5292,5
37.48,-122.23,2.7969,3
38.37,-121.98,2.8438,3
37.96,-121.7,3.2813,3
33.67,-117.33,1.9194,5
38.01,-122.24,6.0102,4
37.36,-121.98,4.5625,4
38.52,-121.47,1.2575,3
33.61,-117.89,5.0,1
33.79,-117.76,8.2653,2
37.75,-122.41,4.2891,4
34.04,-118.17,3.5938,5
35.33,-119.1,6.759,1
36.88,-121.6,4.7813,4
36.21,-119.35,1.6378,0
34.04,-118.33,3.6373,5
33.82,-117.95,4.3269,1
37.47,-122.15,3.0521,3
39.48,-121.79,3.3929,3
34.96,-120.44,2.9167,0
33.97,-118.39,6.235,1
37.78,-122.42,2.1516,3
32.85,-117.2,4.7891,1
33.82,-117.89,5.0605,1
39.72,-121.82,1.5064,3
35.54,-117.84,5.0762,1
33.83,-117.91,1.119,5
34.05,-118.39,4.0153,1
32.68,-117.08,1.324,5
37.9,-122.05,4.6528,4
34.15,-117.2,7.732,1
37.93,-122.08,5.0761,4
38.68,-121.38,4.0673,3
40.95,-124.16,3.1406,3
40.59,-124.15,2.0938,3
34.01,-118.43,6.4232,1
34.1,-117.84,3.8465,5
40.05,-123.78,2.1864,3
37.26,-121.0,1.7062,3
33.61,-117.89,5.1923,1
33.88,-117.89,5.7519,1
32.73,-117.02,4.7952,1
33.69,-117.99,3.7479,5
32.95,-117.26,5.8343,1
34.29,-118.72,6.0368,1
37.47,-122.14,3.7917,3
38.39,-121.37,6.2575,4
34.09,-118.34,2.4432,5
33.99,-118.28,2.5848,5
33.03,-117.27,4.87,1
34.28,-117.17,7.1997,1
34.0,-118.33,0.9304,5
37.95,-122.34,2.875,3
36.86,-121.45,3.1375,3
33.87,-118.37,3.5048,5
33.93,-118.25,1.1346,5
33.39,-117.14,3.8547,5
37.56,-122.31,4.2955,4
33.92,-118.22,2.1366,5
37.47,-122.13,5.0893,4
33.92,-118.27,1.7262,5
38.43,-122.68,6.0774,4
33.94,-118.26,1.65,5
38.72,-121.71,2.8882,3
34.12,-117.66,8.8204,2
37.0,-122.04,2.9712,3
34.07,-118.21,2.3859,5
37.69,-121.78,3.3618,3
37.02,-120.06,3.5258,0
32.81,-116.97,2.1422,5
33.22,-117.22,1.9571,5
37.48,-122.25,7.1621,4
33.98,-118.27,1.3042,5
37.37,-122.07,4.8021,4
37.79,-122.44,8.0755,4
38.53,-122.94,3.7143,3
34.07,-117.73,2.2596,5
37.33,-121.94,4.3,4
36.77,-119.77,2.0564,0
33.71,-117.88,4.1,1
40.12,-123.82,2.087,3
37.89,-122.53,5.9073,4
37.28,-122.03,9.8937,2
36.32,-119.7,2.6477,0
33.85,-116.53,2.9647,5
35.35,-119.02,1.983,0
37.76,-122.49,3.5302,3
38.58,-121.3,2.8966,3
34.13,-118.32,4.0833,1
36.91,-119.77,5.3272,4
38.11,-122.6,3.8068,3
33.77,-118.2,1.2864,5
33.81,-117.94,4.5714,1
32.97,-116.67,5.359,1
34.16,-118.36,2.4835,5
33.77,-118.01,5.8362,1
38.01,-121.8,2.2532,3
33.86,-118.07,3.425,5
33.82,-117.99,2.8625,5
38.58,-121.43,3.9167,3
33.9,-118.09,3.1441,5
35.28,-120.7,4.6071,0
34.01,-118.25,1.4464,5
33.93,-118.36,3.0132,5
33.99,-118.33,3.2083,5
33.82,-118.13,5.1795,1
37.8,-122.2,4.9559,4
34.24,-118.63,4.8333,1
39.17,-123.73,2.375,3
36.57,-119.61,1.5833,0
32.72,-117.14,2.2804,5
33.37,-117.25,1.995,5
38.75,-120.54,3.9812,3
37.84,-122.02,7.7072,4
36.79,-119.79,1.5122,0
37.78,-122.44,2.8569,3
36.7,-119.81,1.2404,0
41.74,-122.64,3.3095,3
33.91,-118.14,3.0465,5
34.52,-120.39,2.5667,0
38.44,-122.72,0.9437,3
40.75,-124.17,4.8516,4
33.61,-117.66,7.1497,1
39.15,-121.07,2.4726,3
38.7,-122.52,0.536,3
37.53,-121.98,4.6,4
33.83,-118.11,4.918,1
37.8,-122.23,1.9375,3
33.9,-117.85,5.2037,1
37.94,-122.53,4.7344,4
41.77,-124.21,2.5795,3
34.02,-118.32,2.0304,5
33.95,-118.02,4.6184,1
35.82,-118.7,2.3937,0
32.74,-117.24,4.0268,5
33.95,-118.37,3.111,5
37.97,-121.98,5.9617,4
36.98,-121.88,4.8953,4
32.92,-116.84,3.1607,5
34.07,-117.89,3.9808,5
37.59,-120.94,2.3152,3
38.9,-120.3,0.9227,3
34.17,-118.3,3.0687,5
33.92,-118.12,2.5893,5
41.69,-122.56,2.4107,3
34.22,-118.4,3.6442,5
37.76,-122.45,5.6235,4
38.92,-121.22,4.4958,4
33.93,-118.21,1.9668,5
33.15,-117.2,3.0139,5
38.72,-121.47,4.0227,3
41.86,-122.33,2.234,3
34.15,-118.25,3.6875,5
37.93,-121.22,4.75,4
33.8,-117.98,5.4876,1
38.63,-121.44,1.3462,3
34.08,-118.21,1.9495,5
33.91,-118.35,4.3187,1
32.99,-117.01,8.4284,1
33.98,-118.15,2.3,5
33.79,-118.13,3.7716,5
34.41,-119.7,2.8042,0
34.17,-118.62,6.8482,1
33.83,-118.1,5.3735,1
33.88,-118.36,2.65,5
34.07,-118.07,3.125,5
36.76,-119.79,1.175,0
36.22,-119.33,3.5039,0
40.2,-122.38,2.8447,3
34.08,-118.05,2.0433,5
40.88,-124.1,2.0657,3
37.66,-122.44,3.1927,3
38.25,-122.0,4.9222,4
41.5,-121.76,1.0667,3
37.56,-122.29,5.3683,4
34.04,-118.22,1.4189,5
34.1,-118.35,2.6458,5
38.32,-122.48,3.1129,3
34.16,-119.19,3.9722,1
33.72,-116.37,3.0021,5
33.87,-118.38,5.7415,1
34.11,-118.29,12.9591,2
34.19,-119.2,5.0016,1
37.54,-121.97,4.6349,4
38.42,-120.97,4.3029,4
32.95,-117.26,5.6582,1
33.97,-118.26,1.55,5
33.68,-116.3,2.8882,5
36.56,-119.64,2.0658,0
34.15,-117.71,7.9068,1
37.37,-122.09,6.8374,4
34.43,-119.8,5.6604,1
37.67,-122.45,4.4286,4
37.01,-122.02,10.0968,2
34.09,-117.29,1.1806,5
36.75,-119.76,2.19,0
34.17,-118.43,4.4464,1
38.44,-122.86,3.4471,3
32.91,-117.15,4.9464,1
34.3,-118.51,7.5078,1
37.68,-121.73,5.4496,4
33.75,-117.83,4.9957,1
32.79,-117.06,9.6023,2
37.35,-122.03,3.5154,3
34.08,-117.87,5.6015,1
33.82,-117.91,3.7014,5
33.95,-118.23,2.2391,5
37.53,-122.04,3.9667,3
33.86,-117.97,3.6006,5
33.78,-117.99,3.1049,5
38.05,-122.14,3.2891,3
38.01,-121.89,4.0972,3
33.63,-114.58,3.3438,5
37.76,-122.14,5.5701,4
34.07,-117.95,4.1172,1
38.44,-122.74,2.6576,3
37.7,-121.93,4.4087,4
36.34,-119.34,4.0144,0
39.52,-121.36,2.3917,3
35.35,-119.01,1.9125,0
36.71,-119.72,3.0179,0
37.44,-122.13,5.9277,4
36.69,-119.69,2.1563,0
34.11,-118.59,6.4504,1
33.98,-118.24,2.125,5
33.96,-118.43,8.7819,2
32.71,-117.24,6.6661,1
37.68,-120.99,2.6932,3
32.8,-116.86,4.875,1
32.96,-117.12,6.0175,1
34.02,-118.5,2.9934,5
32.94,-117.24,5.2648,1
38.35,-121.94,4.412,4
33.99,-118.19,3.3869,5
33.71,-117.98,4.4766,1
37.4,-121.9,3.7622,3
37.78,-122.47,4.0652,3
37.15,-122.13,3.9423,3
33.73,-117.9,3.2639,5
37.79,-122.42,2.6607,3
34.23,-118.46,3.0187,5
33.82,-117.97,3.7655,5
34.0,-118.44,4.1083,1
34.02,-118.24,1.8485,5
34.28,-118.74,5.9024,1
33.95,-118.12,5.752000000000001,1
37.34,-121.96,3.4375,3
34.0,-118.33,4.2917,1
33.89,-118.27,4.4659,1
34.22,-118.22,7.0059,1
34.44,-119.67,5.2888,1
33.99,-118.46,4.0598,1
33.91,-118.35,4.0775,1
37.67,-120.96,2.9219,3
37.09,-119.4,3.3269,0
36.99,-120.7,2.9271,0
33.84,-118.31,3.625,5
34.07,-118.1,2.5964,5
34.12,-117.28,1.3571,5
34.05,-117.17,4.2059,1
34.27,-119.24,3.2792,5
34.12,-118.09,7.8347,1
33.96,-118.29,1.5294,5
33.96,-118.22,2.8,5
34.03,-117.32,3.9024,5
37.99,-122.49,6.994,4
34.26,-118.52,3.7816,5
32.75,-117.23,3.1389,5
32.7,-117.09,1.4583,5
32.78,-115.57,4.0375,5
37.81,-122.25,3.125,3
37.77,-122.42,1.375,3
37.93,-121.94,7.5695,4
33.91,-118.23,2.1734,5
37.92,-122.5,6.1632,4
34.15,-116.33,1.5489,5
33.03,-117.05,4.3571,1
38.64,-121.44,1.0398,3
37.23,-120.25,2.1845,0
33.89,-118.25,2.4537,5
38.0,-122.26,5.2375,4
32.8,-117.13,3.9732,5
33.87,-117.92,2.1991,5
34.47,-119.67,4.9757,1
37.82,-122.24,6.155,4
38.54,-122.48,4.2096,3
33.98,-118.22,2.5352,5
33.85,-116.52,3.4886,5
32.76,-117.12,2.3594,5
36.79,-119.63,4.526,0
37.33,-121.85,2.8024,3
37.54,-122.03,4.8214,4
33.72,-116.29,3.1771,5
34.21,-116.22,2.2083,5
33.88,-118.24,2.4821,5
37.27,-121.8,6.223,4
36.8,-119.71,3.0,0
39.34,-123.81,3.1563,3
33.79,-118.17,1.55,5
32.82,-117.25,7.8013,1
37.36,-120.63,4.0694,4
33.84,-117.82,10.1299,2
35.73,-117.87,4.1518,1
32.8,-117.14,3.9417,5
38.13,-120.26,4.0583,3
38.12,-120.55,2.5,3
33.93,-118.3,3.2024,5
39.73,-121.83,2.0064,3
37.6,-120.92,3.7611,3
37.37,-120.5,2.4012,0
34.09,-117.73,2.4375,5
36.62,-121.92,2.5263,3
34.26,-119.25,2.67,5
33.73,-118.02,5.5599,1
37.97,-121.27,1.1141,3
33.79,-117.83,2.9312,5
33.93,-118.07,4.125,1
34.25,-118.27,5.0234,1
37.99,-121.77,5.4409,4
37.95,-122.34,3.2833,3
33.49,-117.12,3.9963,5
32.71,-117.16,1.0918,5
34.06,-118.12,3.1892,5
37.23,-121.97,4.6065,4
34.25,-118.58,5.521,1
37.84,-122.21,7.0548,4
32.85,-117.23,6.3955,1
32.73,-117.17,1.815,5
37.31,-121.81,3.1382,3
32.56,-117.06,1.7301,5
34.02,-117.6,5.2849,1
32.76,-117.12,2.0673,5
37.93,-122.32,2.675,3
33.67,-116.18,2.2141,5
34.89,-120.42,5.0099,1
33.99,-118.31,2.0915,5
33.9,-118.21,2.0817,5
33.99,-118.34,4.8125,1
36.91,-121.75,1.6875,3
34.06,-118.34,3.7167,5
34.52,-118.22,6.5538,1
34.0,-117.88,3.6308,5
36.83,-119.84,6.8645,4
35.32,-119.05,3.4827,0
37.78,-122.46,3.4605,3
34.16,-118.27,2.9148,5
33.64,-117.66,6.7079,1
32.81,-116.99,4.2386,1
37.38,-122.05,4.072,4
37.35,-120.43,5.9378,4
34.11,-117.83,4.9844,1
34.07,-117.98,2.9107,5
34.21,-118.59,5.0462,1
37.16,-121.72,4.7386,4
37.3,-121.96,4.3081,4
37.66,-121.03,2.1528,3
32.77,-117.18,3.4,5
34.08,-118.39,3.5114,5
36.32,-119.68,2.5833,0
33.92,-118.23,1.6437,5
33.9,-118.24,2.375,5
32.61,-117.03,5.1538,1
37.87,-122.28,2.8676,3
36.78,-119.81,3.0,0
37.53,-122.33,6.7042,4
34.0,-117.68,5.7338,1
33.97,-118.17,2.4049,5
33.81,-118.11,3.9722,5
33.79,-117.99,3.1801,5
34.56,-118.21,4.7097,1
37.78,-122.27,5.2601,4
33.91,-118.14,3.0703,5
37.33,-120.46,6.3215,4
37.9,-122.3,3.4091,3
34.03,-118.45,3.3482,5
33.91,-118.36,3.8,5
33.83,-118.37,4.7308,1
38.64,-121.24,5.259,4
33.21,-117.25,2.066,5
38.93,-120.01,2.9960000000000004,3
38.14,-121.25,2.3,3
34.12,-118.1,6.3013,1
37.98,-122.27,6.0289,4
33.93,-118.2,2.5185,5
36.6,-121.9,2.8727,3
34.08,-118.29,1.925,5
38.69,-121.41,3.6429,3
32.76,-117.08,3.0833,5
36.52,-119.54,4.2045,0
37.77,-120.87,3.5959,3
32.86,-117.21,6.5382,1
33.23,-117.24,3.4359,5
37.88,-122.26,2.944,3
37.27,-121.8,5.0772,4
41.12,-121.47,2.83,3
34.07,-117.14,5.5875,1
34.17,-118.44,3.8081,5
37.8,-122.23,1.9028,3
37.04,-122.08,4.1161,4
36.32,-118.94,4.0703,0
37.31,-121.86,2.2259,3
32.61,-117.05,3.5096,5
37.99,-120.35,2.4191,3
37.82,-122.26,2.6104,3
34.0,-118.29,1.2347,5
37.56,-122.26,5.6683,4
33.66,-117.88,3.5426,5
34.16,-118.27,3.6587,5
32.74,-116.0,1.4338,5
37.6,-122.02,3.5,3
37.94,-122.31,3.8343,3
37.77,-122.2,2.4338,3
38.54,-121.51,3.9792,3
34.18,-118.15,2.3029,5
38.0,-121.85,4.2647,4
34.0,-118.06,3.9243,5
34.14,-118.9,5.1457,1
33.65,-117.9,3.4125,5
38.99,-120.98,3.6354,3
34.44,-119.78,4.835,1
34.05,-118.3,2.4297,5
34.21,-118.58,3.0187,5
37.49,-119.9,3.0,0
37.55,-122.05,5.1321,4
34.05,-118.38,3.238,5
38.54,-121.54,3.0536,3
37.27,-121.96,5.2533,4
36.06,-119.05,3.1625,0
34.18,-118.87,3.4676,5
36.72,-119.82,1.6435,0
33.93,-116.98,2.1581,5
38.47,-122.66,3.7617,3
35.37,-118.96,1.365,0
37.54,-122.29,4.9464,4
38.44,-120.69,4.2917,4
32.83,-115.57,3.5282,5
34.28,-118.68,5.0962,1
33.71,-116.38,4.5556,1
34.05,-117.49,3.9464,5
36.85,-121.79,2.7321,3
33.19,-117.34,5.7409,1
34.14,-118.13,3.4531,5
36.32,-119.32,4.3816,0
40.4,-122.23,3.0556,3
33.87,-117.76,7.0592,1
36.52,-121.69,8.0922,4
32.78,-116.95,3.3906,5
33.75,-117.95,5.1416,1
33.96,-117.23,5.252999999999999,1
33.9,-117.84,7.0352,1
39.8,-120.45,1.7829,3
38.56,-121.43,2.5417,3
37.86,-122.03,6.112,4
33.0,-116.78,5.5102,1
32.82,-115.37,3.5735,5
36.79,-119.76,3.3281,0
34.0,-118.46,2.3542,5
33.93,-117.83,6.5841,1
33.59,-117.65,8.0409,1
32.77,-117.17,3.767,5
37.76,-122.48,4.4094,4
34.05,-118.04,2.6579,5
33.94,-118.17,4.6389,1
37.96,-122.52,5.2818,4
37.98,-121.26,0.9782,3
34.56,-118.07,4.2329,1
34.04,-118.5,15.0001,2
38.49,-121.49,2.735,3
33.84,-118.03,4.0156,5
34.69,-118.14,3.4327,5
34.05,-118.74,7.9184,2
38.0,-121.86,3.5857,3
33.82,-117.95,4.0735,1
37.34,-121.96,4.4453,4
33.73,-116.22,2.1217,5
36.67,-121.65,1.9385,3
38.69,-120.85,3.4872,3
37.69,-122.48,4.4821,4
36.57,-119.59,3.5987,0
36.98,-122.0,4.3,4
37.78,-122.49,4.2414,4
33.78,-117.06,2.5847,5
37.76,-121.43,3.6312,3
37.75,-122.46,6.5372,4
33.77,-118.17,2.1378,5
37.31,-121.82,3.7102,3
37.31,-122.02,5.9714,4
34.2,-118.56,4.175,1
32.75,-117.03,3.0897,5
33.86,-117.87,3.1534,5
33.68,-117.7,2.8192,5
33.94,-118.27,1.1468,5
34.07,-117.62,2.5677,5
37.7,-122.43,4.7708,4
35.42,-119.04,1.8403,0
38.35,-122.69,7.226,4
37.79,-122.28,2.5444,3
37.39,-122.08,3.2083,3
39.74,-121.57,2.4623,3
38.54,-122.75,5.4886,4
34.13,-118.42,12.7823,2
37.39,-122.02,4.7431,4
33.76,-117.97,4.7464,1
33.02,-117.21,10.156,2
37.57,-122.33,3.625,3
34.14,-117.29,2.5417,5
37.73,-122.15,4.9135,4
38.42,-122.66,4.023,3
37.99,-121.84,3.3625,3
37.78,-122.46,3.7887,3
33.12,-117.09,2.5284,5
36.02,-119.8,3.05,0
34.26,-118.6,5.6392,1
34.1,-117.77,2.8818,5
32.8,-117.01,3.7159,5
33.88,-118.21,3.4485,5
38.14,-121.29,3.875,3
32.74,-117.13,3.6852,5
32.72,-117.01,2.3068,5
33.06,-116.93,4.8836,1
36.81,-119.85,3.755,0
33.6,-117.96,5.2333,1
34.03,-118.18,2.0764,5
39.79,-121.58,2.7863,3
40.28,-124.25,1.9417,3
34.28,-118.51,6.3911,1
32.58,-117.11,2.4213,5
35.89,-119.27,1.7572,0
34.08,-117.64,3.3958,5
32.73,-117.05,3.5529,5
37.54,-122.28,3.9699,3
33.76,-117.93,3.3710000000000004,5
39.13,-121.32,3.0,3
34.27,-118.51,4.1042,1
37.34,-121.79,4.9318,4
37.9,-122.3,2.9219,3
34.2,-118.32,3.9866,5
33.21,-117.24,2.1875,5
33.89,-118.34,5.372999999999999,1
38.32,-120.88,3.2589,3
33.81,-117.92,5.6047,1
37.1,-121.96,6.3617,4
37.66,-121.85,5.6399,4
34.05,-118.02,3.0625,5
33.54,-115.22,1.625,5
37.95,-121.26,1.725,3
40.91,-124.08,1.6667,3
34.03,-118.5,6.48,1
34.05,-118.2,2.0885,5
39.91,-122.19,1.8571,3
37.75,-122.16,3.8047,3
37.76,-122.15,6.0749,4
34.09,-117.4,4.4034,1
38.61,-121.44,1.8792,3
37.38,-122.02,4.0911,4
34.16,-118.05,3.5694,5
32.76,-117.12,2.4821,5
34.1,-118.15,3.1211,5
33.94,-118.11,4.4375,1
33.74,-117.84,3.3611,5
36.85,-119.79,1.9511,0
38.47,-122.74,3.0714,3
33.88,-118.12,3.0795,5
36.18,-119.27,2.6098,0
38.9,-121.52,2.9048,3
34.05,-117.93,4.2926,1
34.1,-118.37,15.0001,2
32.91,-117.13,3.6111,5
38.36,-122.01,7.1053,4
32.76,-117.18,3.6492,5
34.04,-117.94,3.8864,5
34.24,-117.28,5.2185,1
33.93,-118.26,1.4917,5
34.14,-117.27,4.4435,1
32.8,-115.57,1.875,5
35.13,-120.66,1.9653,0
39.3,-121.96,2.1845,3
40.59,-124.05,3.4408,3
34.09,-118.34,3.2946,5
37.48,-121.14,3.7045,3
34.05,-117.99,3.7917,5
40.45,-124.03,2.6094,3
38.55,-121.34,4.1447,3
33.98,-118.06,4.2206,1
33.98,-118.33,1.8472,5
37.41,-121.86,7.3861,4
33.96,-118.4,4.1852,1
37.99,-121.88,5.5676,4
37.83,-122.25,3.1484,3
37.98,-120.4,2.6696,3
33.67,-117.81,7.2025,1
39.07,-123.21,3.7833,3
34.13,-117.92,2.8643,5
33.97,-118.22,2.881,5
32.79,-117.25,1.8365,5
34.1,-118.32,2.2311,5
33.73,-116.94,3.7175,5
37.38,-122.08,3.3917,3
33.8,-118.01,5.32,1
37.31,-121.97,3.9187,3
37.88,-122.53,6.8742,4
34.19,-118.31,2.0875,5
34.44,-118.53,6.0398,1
37.74,-122.16,4.0417,3
33.97,-118.37,3.3889,5
32.96,-117.14,6.3721,1
37.57,-122.36,10.7339,2
33.66,-117.99,3.0625,5
35.24,-120.52,5.0267,4
37.83,-122.2,8.401,4
37.64,-118.97,3.0921,0
33.98,-118.22,2.4387,5
34.44,-119.8,5.0294,1
34.45,-119.71,5.5922,1
33.9,-116.81,1.3286,5
37.43,-121.87,6.2892,4
34.05,-118.35,2.8841,5
33.66,-116.31,3.6354,5
33.99,-118.42,3.725,5
34.08,-118.0,3.994,5
37.23,-121.86,5.8904,4
34.21,-119.18,4.3897,1
36.75,-119.79,1.0,0
37.33,-122.03,7.4863,4
34.07,-117.64,2.2765,5
33.62,-117.92,5.2416,1
34.17,-118.61,3.8819,5
33.93,-117.93,3.7933,5
33.99,-118.32,2.5909,5
33.85,-118.16,4.0815,1
33.73,-116.31,3.2846,5
39.04,-122.73,1.9833,3
36.81,-121.6,5.2203,4
37.88,-122.27,4.2813,4
35.26,-120.68,3.2464,0
37.26,-121.95,5.2,4
34.1,-117.74,2.6779,5
34.07,-118.37,4.25,1
33.83,-117.91,2.5509,5
37.48,-122.26,5.6038,4
33.85,-118.35,5.6426,1
34.09,-118.43,7.9835,2
33.84,-118.08,3.3438,5
33.87,-118.03,5.93,1
34.06,-117.25,3.0042,5
33.96,-118.35,1.2094,5
33.94,-118.36,3.4063,5
37.29,-121.91,5.6266,4
36.34,-119.64,1.8606,0
37.84,-122.28,1.6875,3
37.91,-122.3,2.9441,3
34.21,-118.41,4.0167,1
32.76,-117.04,3.141,5
34.01,-118.38,4.7612,1
37.35,-121.89,2.0549,3
35.87,-119.3,2.1434,0
37.94,-121.28,1.7039,3
32.78,-117.07,4.7143,1
34.12,-117.29,1.8438,5
35.23,-118.82,1.9688,0
33.12,-117.25,5.311,1
34.08,-118.69,9.7646,2
33.82,-117.81,10.8111,2
37.71,-122.13,3.5781,3
37.27,-121.99,5.4051,4
33.69,-117.79,6.5783,1
36.11,-119.59,2.25,0
38.55,-121.4,2.925,3
32.79,-115.54,1.6607,5
39.78,-121.59,1.4048,3
38.72,-121.31,3.9506,3
33.8,-118.17,3.5313,5
37.75,-122.16,2.5568,3
36.76,-119.77,1.5174,0
33.82,-118.1,4.8462,1
35.3,-119.09,3.6852,0
34.07,-117.96,4.6118,1
36.82,-121.64,4.1696,4
37.93,-121.7,4.6587,4
34.18,-118.97,7.0242,1
34.09,-118.3,1.4497,5
33.41,-117.6,4.5476,1
33.77,-118.27,1.5369,5
33.94,-117.97,4.0893,1
36.81,-119.71,2.0536,0
34.01,-118.4,5.4035,1
37.54,-122.36,10.1675,2
32.62,-117.09,2.4866,5
37.34,-122.08,10.5142,2
36.67,-121.63,2.5263,3
34.17,-118.9,5.3558,1
37.81,-121.31,3.1429,3
33.72,-118.04,4.0238,5
32.81,-117.29,6.9553,1
33.69,-116.18,2.375,5
37.58,-121.99,6.2073,4
37.25,-121.97,7.9135,4
33.87,-118.05,5.8855,1
33.6,-117.86,6.6265,1
34.16,-118.11,4.2065,1
37.99,-122.33,3.911,3
34.05,-117.76,2.3859,5
33.97,-118.1,2.9922,5
33.82,-117.94,3.4,5
38.23,-122.7,3.5673,3
33.9,-118.22,2.3542,5
37.72,-122.15,2.9097,3
37.71,-122.44,3.9567,3
34.13,-118.21,3.25,5
34.07,-118.32,11.2185,2
37.76,-122.24,3.6719,3
33.86,-117.94,2.1432,5
37.66,-120.93,4.744,4
33.74,-116.9,2.3712,5
33.96,-118.02,4.5446,1
38.0,-121.83,4.8359,4
33.73,-116.95,3.2371,5
34.09,-118.3,2.1927,5
33.04,-117.24,3.212,5
34.0,-118.4,4.85,1
39.17,-120.93,3.6563,3
34.13,-117.82,6.1321,1
36.31,-119.33,5.3909,1
34.28,-119.24,4.4038,1
36.59,-121.84,4.3269,4
34.02,-118.49,4.1365,1
37.79,-121.23,2.7734,3
33.95,-117.93,7.4597,1
34.1,-117.8,6.2456,1
37.93,-122.34,2.1287,3
33.86,-118.32,4.6563,1
37.64,-121.01,1.9013,3
39.76,-121.84,2.3155,3
38.77,-120.58,2.3583,3
40.73,-124.19,3.5363,3
33.48,-117.66,2.3846,5
34.05,-118.29,1.8571,5
37.99,-121.34,3.9615,3
32.74,-117.28,2.7515,5
37.38,-122.06,5.6999,4
33.88,-118.41,5.2533,1
33.51,-117.18,6.992999999999999,1
34.18,-118.34,3.24,5
34.12,-118.02,6.1536,1
37.36,-122.11,13.1867,2
36.83,-121.37,4.76,4
34.08,-117.71,4.2639,1
38.69,-121.25,4.1607,3
33.84,-117.87,4.5112,1
34.03,-118.4,6.5669,1
40.79,-124.16,2.2566,3
34.11,-117.21,3.4103,5
34.21,-118.52,4.3261,1
34.07,-118.09,2.5938,5
36.8,-119.78,1.8514,0
33.99,-117.32,4.711,1
34.42,-117.27,3.2077,5
37.89,-122.26,6.6828,4
37.78,-122.17,3.6875,3
37.69,-121.8,5.4324,4
37.6,-122.39,2.56,3
36.31,-119.77,2.6218,0
38.94,-121.1,1.0179,3
32.75,-117.19,6.1309,1
39.24,-120.04,2.65,3
34.08,-118.06,3.2569,5
